<<<<<<< HEAD
FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
FUNCTION,DIMENSION,EPSILON,NR_GROUPS,FACTORS,SEPARATE VARS
F20,10,0.1,5,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",[]
F20,10,0.001,5,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]",[]
F20,10,1e-06,4,"[(0, 1, 3, 4, 5), (6, 7), (8, 9), (2,)]",[2]
F20,10,1e-09,4,"[(0, 1, 3, 4, 5), (6, 7), (8, 9), (2,)]",[2]
F20,20,0.1,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19)]",[]
F20,20,0.001,10,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19)]",[]
F20,20,1e-06,4,"[(0, 1, 3, 4, 5, 6, 7, 9, 11, 13, 15, 16), (8, 14), (17, 18), (2, 10, 12, 19)]","[2, 10, 12, 19]"
F20,20,1e-09,4,"[(0, 1, 3, 4, 5, 6, 7, 9, 11, 13, 15, 16), (8, 14), (17, 18), (2, 10, 12, 19)]","[2, 10, 12, 19]"
F20,30,0.1,15,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29)]",[]
F20,30,0.001,15,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29)]",[]
F20,30,1e-06,7,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 20), (17, 18), (21, 22), (23, 24), (25, 26), (27, 28), (10, 12, 19, 29)]","[10, 12, 19, 29]"
F20,30,1e-09,7,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 20), (17, 18), (21, 22), (23, 24), (25, 26), (27, 28), (10, 12, 19, 29)]","[10, 12, 19, 29]"
F20,40,0.1,20,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29), (30, 31), (32, 33), (34, 35), (36, 37), (38, 39)]",[]
F20,40,0.001,20,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29), (30, 31), (32, 33), (34, 35), (36, 37), (38, 39)]",[]
F20,40,1e-06,7,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 20), (17, 18, 22, 24, 26, 27, 28, 31), (23, 30, 32), (33, 34), (35, 36), (37, 38), (10, 12, 19, 21, 25, 29, 39)]","[10, 12, 19, 21, 25, 29, 39]"
F20,40,1e-09,7,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 20), (17, 18, 22, 24, 26, 27, 28, 31), (23, 30, 32), (33, 34), (35, 36), (37, 38), (10, 12, 19, 21, 25, 29, 39)]","[10, 12, 19, 21, 25, 29, 39]"
F20,50,0.1,25,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29), (30, 31), (32, 33), (34, 35), (36, 37), (38, 39), (40, 41), (42, 43), (44, 45), (46, 47), (48, 49)]",[]
F20,50,0.001,25,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29), (30, 31), (32, 33), (34, 35), (36, 37), (38, 39), (40, 41), (42, 43), (44, 45), (46, 47), (48, 49)]",[]
F20,50,1e-06,12,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 20), (17, 18, 22, 24, 26, 27, 28, 31), (23, 30, 32), (33, 34), (35, 36), (37, 38), (39, 40), (41, 42), (43, 44), (45, 46), (47, 48), (10, 12, 19, 21, 25, 29, 49)]","[10, 12, 19, 21, 25, 29, 49]"
F20,50,1e-09,12,"[(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 20), (17, 18, 22, 24, 26, 27, 28, 31), (23, 30, 32), (33, 34), (35, 36), (37, 38), (39, 40), (41, 42), (43, 44), (45, 46), (47, 48), (10, 12, 19, 21, 25, 29, 49)]","[10, 12, 19, 21, 25, 29, 49]"
F20,60,0.1,30,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29), (30, 31), (32, 33), (34, 35), (36, 37), (38, 39), (40, 41), (42, 43), (44, 45), (46, 47), (48, 49), (50, 51), (52, 53), (54, 55), (56, 57), (58, 59)]",[]
F20,60,0.001,30,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29), (30, 31), (32, 33), (34, 35), (36, 37), (38, 39), (40, 41), (42, 43), (44, 45), (46, 47), (48, 49), (50, 51), (52, 53), (54, 55), (56, 57), (58, 59)]",[]
F20,60,1e-06,12,"[(0, 1, 10, 12, 19, 21, 23, 25, 26, 27, 28, 29, 31, 32, 33, 35, 36, 38, 39, 41, 42, 46, 47, 51, 52), (2, 3, 13, 15), (4, 5, 6, 9, 20), (7, 8, 11, 22, 24), (14, 16), (17, 18), (43, 44), (48, 49), (53, 54), (55, 56), (57, 58), (30, 34, 37, 40, 45, 50, 59)]","[30, 34, 37, 40, 45, 50, 59]"
F20,60,1e-09,12,"[(0, 1, 10, 12, 19, 21, 23, 25, 26, 27, 28, 29, 31, 32, 33, 35, 36, 38, 39, 41, 42, 46, 47, 51, 52), (2, 3, 13, 15), (4, 5, 6, 9, 20), (7, 8, 11, 22, 24), (14, 16), (17, 18), (43, 44), (48, 49), (53, 54), (55, 56), (57, 58), (30, 34, 37, 40, 45, 50, 59)]","[30, 34, 37, 40, 45, 50, 59]"
F20,70,0.1,35,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29), (30, 31), (32, 33), (34, 35), (36, 37), (38, 39), (40, 41), (42, 43), (44, 45), (46, 47), (48, 49), (50, 51), (52, 53), (54, 55), (56, 57), (58, 59), (60, 61), (62, 63), (64, 65), (66, 67), (68, 69)]",[]
F20,70,0.001,35,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29), (30, 31), (32, 33), (34, 35), (36, 37), (38, 39), (40, 41), (42, 43), (44, 45), (46, 47), (48, 49), (50, 51), (52, 53), (54, 55), (56, 57), (58, 59), (60, 61), (62, 63), (64, 65), (66, 67), (68, 69)]",[]
F20,70,1e-06,16,"[(0, 1, 10, 12, 19, 21, 23, 25, 26, 27, 28, 29, 31, 32, 33, 35, 36, 38, 39, 41, 42, 46, 47, 51, 52), (2, 3, 13, 15), (4, 5, 6, 9, 20), (7, 8, 11, 22, 24), (14, 16), (17, 18), (43, 44), (48, 49), (53, 54), (55, 56), (57, 58), (59, 60), (61, 62), (63, 64), (65, 66, 67, 68, 69), (30, 34, 37, 40, 45, 50)]","[30, 34, 37, 40, 45, 50]"
F20,70,1e-09,16,"[(0, 1, 10, 12, 19, 21, 23, 25, 26, 27, 28, 29, 31, 32, 33, 35, 36, 38, 39, 41, 42, 46, 47, 51, 52), (2, 3, 13, 15), (4, 5, 6, 9, 20), (7, 8, 11, 22, 24), (14, 16), (17, 18), (43, 44), (48, 49), (53, 54), (55, 56), (57, 58), (59, 60), (61, 62), (63, 64), (65, 66, 67, 68, 69), (30, 34, 37, 40, 45, 50)]","[30, 34, 37, 40, 45, 50]"
F20,80,0.1,40,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29), (30, 31), (32, 33), (34, 35), (36, 37), (38, 39), (40, 41), (42, 43), (44, 45), (46, 47), (48, 49), (50, 51), (52, 53), (54, 55), (56, 57), (58, 59), (60, 61), (62, 63), (64, 65), (66, 67), (68, 69), (70, 71), (72, 73), (74, 75), (76, 77), (78, 79)]",[]
F20,80,0.001,40,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29), (30, 31), (32, 33), (34, 35), (36, 37), (38, 39), (40, 41), (42, 43), (44, 45), (46, 47), (48, 49), (50, 51), (52, 53), (54, 55), (56, 57), (58, 59), (60, 61), (62, 63), (64, 65), (66, 67), (68, 69), (70, 71), (72, 73), (74, 75), (76, 77), (78, 79)]",[]
F20,80,1e-06,16,"[(0, 1, 10, 12, 19, 21, 23, 25, 26, 27, 28, 29, 31, 32, 33, 35, 36, 38, 39, 41, 42, 46, 47, 51), (2, 3, 13, 15), (4, 5, 6, 9, 14, 16, 20), (7, 8, 11, 17, 22, 24, 53), (18, 70), (30, 49), (43, 44), (54, 55), (56, 57, 60, 62, 63, 64, 65, 68, 71), (58, 59, 69), (66, 67), (72, 73), (74, 75), (76, 77), (78, 79), (34, 37, 40, 45, 48, 50, 52, 61)]","[34, 37, 40, 45, 48, 50, 52, 61]"
F20,80,1e-09,16,"[(0, 1, 10, 12, 19, 21, 23, 25, 26, 27, 28, 29, 31, 32, 33, 35, 36, 38, 39, 41, 42, 46, 47, 51), (2, 3, 13, 15), (4, 5, 6, 9, 14, 16, 20), (7, 8, 11, 17, 22, 24, 53), (18, 70), (30, 49), (43, 44), (54, 55), (56, 57, 60, 62, 63, 64, 65, 68, 71), (58, 59, 69), (66, 67), (72, 73), (74, 75), (76, 77), (78, 79), (34, 37, 40, 45, 48, 50, 52, 61)]","[34, 37, 40, 45, 48, 50, 52, 61]"
F20,90,0.1,45,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29), (30, 31), (32, 33), (34, 35), (36, 37), (38, 39), (40, 41), (42, 43), (44, 45), (46, 47), (48, 49), (50, 51), (52, 53), (54, 55), (56, 57), (58, 59), (60, 61), (62, 63), (64, 65), (66, 67), (68, 69), (70, 71), (72, 73), (74, 75), (76, 77), (78, 79), (80, 81), (82, 83), (84, 85), (86, 87), (88, 89)]",[]
F20,90,0.001,45,"[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23), (24, 25), (26, 27), (28, 29), (30, 31), (32, 33), (34, 35), (36, 37), (38, 39), (40, 41), (42, 43), (44, 45), (46, 47), (48, 49), (50, 51), (52, 53), (54, 55), (56, 57), (58, 59), (60, 61), (62, 63), (64, 65), (66, 67), (68, 69), (70, 71), (72, 73), (74, 75), (76, 77), (78, 79), (80, 81), (82, 83), (84, 85), (86, 87), (88, 89)]",[]
F20,90,1e-06,21,"[(0, 1, 10, 12, 19, 21, 23, 25, 26, 27, 28, 29, 31, 32, 33, 35, 36, 38, 39, 41, 42, 46, 47, 51), (2, 3, 13, 15), (4, 5, 6, 9, 14, 16, 20), (7, 8, 11, 17, 22, 24, 53), (18, 70), (30, 49), (43, 44), (54, 55), (56, 57, 60, 62, 63, 64, 65, 68, 71), (58, 59, 69), (66, 67), (72, 73), (74, 75), (76, 77), (78, 79), (80, 81), (82, 83), (84, 85), (86, 87), (88, 89), (34, 37, 40, 45, 48, 50, 52, 61)]","[34, 37, 40, 45, 48, 50, 52, 61]"
